osmid,y,x,street_count,highway,ref,geometry
60798973,54.889479,23.920412,3,,,POINT (23.920412 54.889479)
60799072,54.892666,23.9164094,4,,,POINT (23.9164094 54.892666)
60799103,54.8993043,23.905674,3,,,POINT (23.905674 54.8993043)
60799217,54.8971939,23.9041714,3,,,POINT (23.9041714 54.8971939)
60799311,54.8957503,23.899315,4,,,POINT (23.899315 54.8957503)
60799324,54.8959331,23.9020338,3,,,POINT (23.9020338 54.8959331)
60799351,54.8977818,23.8961939,3,,,POINT (23.8961939 54.8977818)
60799447,54.9009866,23.8932438,3,,,POINT (23.8932438 54.9009866)
60799491,54.9028108,23.8821879,3,,,POINT (23.8821879 54.9028108)
60799494,54.9043624,23.8726612,3,,,POINT (23.8726612 54.9043624)
60799524,54.9075473,23.8852544,4,,,POINT (23.8852544 54.9075473)
60799525,54.9058054,23.8823555,4,,,POINT (23.8823555 54.9058054)
60799553,54.9390843,23.8799614,3,,,POINT (23.8799614 54.9390843)
60857728,54.9010408,23.8921751,3,,,POINT (23.8921751 54.9010408)
60858604,54.8955942,23.9157899,3,,,POINT (23.9157899 54.8955942)
60858622,54.9042844,23.8879538,4,traffic_signals,,POINT (23.8879538 54.9042844)
81203687,54.8717165,23.9883572,3,,,POINT (23.9883572 54.8717165)
81203918,54.8769526,23.9835785,3,,,POINT (23.9835785 54.8769526)
81203920,54.8767657,23.9802705,3,,,POINT (23.9802705 54.8767657)
81204124,54.8875462,23.9777324,3,,,POINT (23.9777324 54.8875462)
81206403,54.9186379,23.8760784,3,,,POINT (23.8760784 54.9186379)
81206409,54.9248738,23.8919057,4,traffic_signals,,POINT (23.8919057 54.9248738)
81206962,54.9303156,23.8716107,3,,,POINT (23.8716107 54.9303156)
81212468,54.9199628,23.827327,3,,,POINT (23.827327 54.9199628)
81212470,54.920487,23.8213329,3,,,POINT (23.8213329 54.920487)
81212471,54.9206104,23.817484,3,,,POINT (23.817484 54.9206104)
82660147,54.9545514,23.9434593,3,,,POINT (23.9434593 54.9545514)
82660148,54.9550145,23.9473249,3,,,POINT (23.9473249 54.9550145)
82660650,54.9147316,23.9134874,3,,,POINT (23.9134874 54.9147316)
82662839,54.8607762,23.9737069,4,,,POINT (23.9737069 54.8607762)
82662842,54.8656792,23.9758855,3,,,POINT (23.9758855 54.8656792)
82662845,54.86748,23.9739955,1,turning_loop,,POINT (23.9739955 54.86748)
82662846,54.8681429,23.9724272,3,,,POINT (23.9724272 54.8681429)
82663729,54.8908258,23.9479026,4,,,POINT (23.9479026 54.8908258)
82663730,54.8898248,23.9449557,3,,,POINT (23.9449557 54.8898248)
82663731,54.8882865,23.9417785,4,,,POINT (23.9417785 54.8882865)
82665114,54.9179604,24.0229313,3,,,POINT (24.0229313 54.9179604)
82665220,54.9184407,24.020232,3,,,POINT (24.020232 54.9184407)
82665225,54.9180256,24.0200819,3,,,POINT (24.0200819 54.9180256)
91072626,54.9034791,23.9112751,3,,,POINT (23.9112751 54.9034791)
91072631,54.9027006,23.9122561,3,,,POINT (23.9122561 54.9027006)
91073377,54.9167329,23.9858645,3,,,POINT (23.9858645 54.9167329)
91076175,54.9284542,23.9719202,5,,,POINT (23.9719202 54.9284542)
91079142,54.9200887,24.0771462,3,,,POINT (24.0771462 54.9200887)
91079143,54.9198606,24.0765964,3,,,POINT (24.0765964 54.9198606)
91079144,54.9193555,24.075146,3,,,POINT (24.075146 54.9193555)
91079145,54.9189933,24.0730552,3,,,POINT (24.0730552 54.9189933)
91079150,54.9153365,24.0714607,3,,,POINT (24.0714607 54.9153365)
91079153,54.9138914,24.0655392,3,,,POINT (24.0655392 54.9138914)
91079155,54.9140355,24.0611144,3,,,POINT (24.0611144 54.9140355)
91079156,54.9115686,24.0602469,3,,,POINT (24.0602469 54.9115686)
91079157,54.9085337,24.0543408,4,,,POINT (24.0543408 54.9085337)
91079161,54.9055587,24.0397623,3,,,POINT (24.0397623 54.9055587)
91079167,54.9009253,24.0297536,3,,,POINT (24.0297536 54.9009253)
91082022,54.9393241,23.814616,3,,,POINT (23.814616 54.9393241)
99158607,54.8631627,23.8704223,3,,,POINT (23.8704223 54.8631627)
99159006,54.8688569,23.8867183,3,,,POINT (23.8867183 54.8688569)
99159007,54.872709,23.877925,3,,,POINT (23.877925 54.872709)
99159009,54.8736169,23.8760059,4,,,POINT (23.8760059 54.8736169)
99159011,54.8744191,23.8743752,4,,,POINT (23.8743752 54.8744191)
99164149,54.8647064,23.8825317,3,,,POINT (23.8825317 54.8647064)
99165594,54.8631991,23.8543397,3,,,POINT (23.8543397 54.8631991)
99165596,54.8620878,23.8473413,3,,,POINT (23.8473413 54.8620878)
99180010,54.8581236,23.8850307,3,,,POINT (23.8850307 54.8581236)
150543338,54.8947141,23.9592198,3,,,POINT (23.9592198 54.8947141)
150543466,54.8677103,23.9395063,3,,,POINT (23.9395063 54.8677103)
150543467,54.8702111,23.936791,3,,,POINT (23.936791 54.8702111)
150543636,54.9293155,23.8941161,3,,,POINT (23.8941161 54.9293155)
150544000,54.8917799,23.8740254,3,,,POINT (23.8740254 54.8917799)
154786251,54.8573007,23.8634046,3,,,POINT (23.8634046 54.8573007)
154787394,54.9351941,23.8166293,3,,,POINT (23.8166293 54.9351941)
157057697,54.8754715,23.9858697,3,,,POINT (23.9858697 54.8754715)
162413625,54.9077266,23.9155118,3,,,POINT (23.9155118 54.9077266)
170343668,54.8986519,23.8949241,1,,,POINT (23.8949241 54.8986519)
170344206,54.8985939,23.8933648,3,,,POINT (23.8933648 54.8985939)
170344783,54.8971883,23.8913413,3,,,POINT (23.8913413 54.8971883)
170345657,54.8952168,23.8909974,3,,,POINT (23.8909974 54.8952168)
170346239,54.8959275,23.8929891,3,,,POINT (23.8929891 54.8959275)
