u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,junction,width,access,tunnel
12089265981,10925238966,0,1175767236,unclassified,,,,True,,False,18.19986835191242,"LINESTRING (23.8301008 54.9087096, 23.8300465 54.9087195, 23.8299897 54.9087175, 23.8299379 54.9087039, 23.8298982 54.9086804, 23.8298759 54.9086503)",,roundabout,,,
12089265982,447541894,0,38055394,unclassified,,40,Romuvos g.,False,,False,386.43690231953286,"LINESTRING (23.8299682 54.9085485, 23.8299261 54.9084886, 23.8298546 54.9083895, 23.8297828 54.9083027, 23.8297027 54.9082195, 23.8296439 54.9081788, 23.8295844 54.9081477, 23.8295241 54.9081296, 23.8292195 54.9081186, 23.8268244 54.9082897, 23.8251018 54.9084127, 23.8243837 54.9084276)",,,,,
12089265982,10925238967,0,1175767236,unclassified,,,,True,,False,13.339995789154194,"LINESTRING (23.8299682 54.9085485, 23.8300191 54.9085419, 23.8300709 54.9085453, 23.8301178 54.9085585, 23.8301545 54.9085798)",,roundabout,,,
12089319142,12089320078,0,"[565853145, 263116647]",unclassified,2,50,Studentų g.,False,,True,402.99534068143385,"LINESTRING (23.9592734 54.9034797, 23.9592295 54.9035267, 23.9591315 54.9036343, 23.9587663 54.9040309, 23.958707 54.9040952, 23.9585364 54.9042804, 23.9581918 54.9046539, 23.9575941 54.9053017, 23.9575102 54.9053941, 23.9571883 54.9057487, 23.9568517 54.9060441, 23.9567218 54.9061453, 23.956436 54.9063802, 23.9562575 54.9065268, 23.956156 54.9066241)",,,,,
12089319142,12089319144,0,1305285473,unclassified,1,,,True,,False,8.990092046291922,"LINESTRING (23.9592734 54.9034797, 23.9592505 54.9034703, 23.9592337 54.9034573, 23.9592247 54.903442, 23.9592242 54.9034258, 23.9592325 54.9034104)",,roundabout,,,
12089319143,274224378,0,1180372897,unclassified,2,50,Gričiupio g.,False,,True,221.80934609894183,"LINESTRING (23.9593953 54.9034562, 23.9594415 54.9034691, 23.9599005 54.9036055, 23.9599977 54.9036355, 23.9604574 54.903772, 23.9607055 54.903845, 23.9611007 54.9039512, 23.9617462 54.9041176, 23.9624008 54.9042611, 23.9625423 54.9042911)",,,,,
12089319143,12089319142,0,1305285474,unclassified,1,,,True,,False,9.07932728322968,"LINESTRING (23.9593953 54.9034562, 23.9593737 54.9034724, 23.9593429 54.9034825, 23.9593076 54.9034851, 23.9592734 54.9034797)",,roundabout,,,
12089319144,9175386384,0,"[32452954, 1099640189, 1099640190]",residential,2,50,Slėnio g.,False,,True,553.7729149905284,"LINESTRING (23.9592325 54.9034104, 23.9591013 54.9033733, 23.9590513 54.9033591, 23.95872 54.903265, 23.9582658 54.9031308, 23.9579839 54.903048, 23.9577863 54.902995, 23.9576261 54.9029783, 23.9574077 54.9029797, 23.9570858 54.9029816, 23.9568188 54.9029838, 23.9566242 54.9029796, 23.9565226 54.9029556, 23.9564524 54.9029224, 23.956443 54.9028849, 23.9564588 54.9028613, 23.9565281 54.9028356, 23.9568103 54.9028112, 23.9575464 54.9027261, 23.9578497 54.9026917, 23.9580327 54.9026786, 23.9581367 54.9026787, 23.9582384 54.9026853, 23.9583299 54.9026985, 23.9585966 54.9027626, 23.9586905 54.9027706, 23.9587802 54.902773, 23.9588979 54.902758, 23.9590212 54.9027181, 23.9591424 54.9026462, 23.9591802 54.9026117, 23.9592149 54.9025715, 23.9592414 54.9025342, 23.9592642 54.9024936, 23.9592758 54.9024577, 23.9592827 54.9024166, 23.9592842 54.9023671, 23.9592449 54.9022724, 23.9592039 54.9022335, 23.9591497 54.9021997, 23.9590672 54.9021625, 23.9589733 54.9021383, 23.958843 54.9021226, 23.9580568 54.9020869, 23.9577732 54.9020636, 23.9576512 54.9020336, 23.9574997 54.9019711, 23.9574299 54.9019156, 23.9574079 54.9018903)",,,,,
12089319144,12089319145,0,1305285475,unclassified,1,,,True,,False,9.215070235527088,"LINESTRING (23.9592325 54.9034104, 23.9592543 54.9033939, 23.9592856 54.9033836, 23.9593214 54.9033812, 23.959356 54.9033869)",,roundabout,,,
12089319145,9521382368,0,354174677,unclassified,2,50,Studentų g.,False,,False,304.5598437357172,"LINESTRING (23.959356 54.9033869, 23.9593982 54.9033371, 23.9596505 54.9030637, 23.9600739 54.9025949, 23.9603435 54.9022963, 23.9606599 54.9019458, 23.9609982 54.9015715, 23.9611839 54.9013653, 23.9611972 54.9013506, 23.9615548 54.9009572)",,,,,
12089319145,12089319143,0,1307819412,unclassified,1,,,True,,False,8.935617175518841,"LINESTRING (23.959356 54.9033869, 23.9593784 54.9033965, 23.9593948 54.9034095, 23.9594035 54.9034248, 23.9594037 54.9034408, 23.9593953 54.9034562)",,roundabout,,,
12089320077,12089320117,0,1305285480,unclassified,1,50,,True,,False,12.53863345202602,"LINESTRING (23.9562171 54.9067186, 23.9561946 54.9067371, 23.956163 54.9067504, 23.9561257 54.9067573, 23.9560865 54.9067571, 23.9560494 54.9067496)",,roundabout,,,
12089320077,7963517839,0,"[1387444784, 178451817]",residential,2,50,Rytų g.,False,,False,149.03032012817098,"LINESTRING (23.9562171 54.9067186, 23.9563463 54.9067723, 23.9565187 54.9068373, 23.9565699 54.9068566, 23.9572205 54.9070976, 23.9573567 54.9071483, 23.9576162 54.9072449, 23.9580344 54.9074029, 23.9581679 54.9074522)",,,,,
12089320078,12089319142,0,"[565853145, 263116647]",unclassified,2,50,Studentų g.,False,,False,402.99534068143385,"LINESTRING (23.956156 54.9066241, 23.9562575 54.9065268, 23.956436 54.9063802, 23.9567218 54.9061453, 23.9568517 54.9060441, 23.9571883 54.9057487, 23.9575102 54.9053941, 23.9575941 54.9053017, 23.9581918 54.9046539, 23.9585364 54.9042804, 23.958707 54.9040952, 23.9587663 54.9040309, 23.9591315 54.9036343, 23.9592295 54.9035267, 23.9592734 54.9034797)",,,,,
12089320078,12089320077,0,1305285481,unclassified,1,50,,True,,False,12.479586526734005,"LINESTRING (23.956156 54.9066241, 23.9561838 54.9066338, 23.9562062 54.9066474, 23.9562215 54.9066639, 23.9562287 54.9066821, 23.9562272 54.9067008, 23.9562171 54.9067186)",,roundabout,,,
12089320079,9444311106,0,"[32342053, 1099640185, 1099640186, 1099640187, 1387444796]",residential,2,50,B. Sruogos g.,False,,False,342.868800678038,"LINESTRING (23.956025 54.906637, 23.9559194 54.9066074, 23.9557531 54.9065716, 23.955383 54.9064951, 23.9550302 54.9064266, 23.9545434 54.9063371, 23.9541845 54.906274, 23.9523153 54.9059346, 23.9519511 54.9061099, 23.9515133 54.9063205, 23.951257 54.9064556, 23.9511956 54.9064623)",,,,,
12089320079,12089320078,0,1305285479,unclassified,1,50,,True,,False,8.954009441160466,"LINESTRING (23.956025 54.906637, 23.9560538 54.9066256, 23.9560871 54.9066194, 23.9561221 54.9066189, 23.956156 54.9066241)",,roundabout,,,
12089320117,363749044,0,"[865702680, 865702681, 696211723, 1387444785]",unclassified,"['2', '4', '5']",50,Studentų g.,False,,True,221.06397502594592,"LINESTRING (23.9560494 54.9067496, 23.9560215 54.9067667, 23.9558941 54.9068354, 23.9558146 54.9068721, 23.9555925 54.9069649, 23.9551032 54.9071467, 23.9548299 54.9072367, 23.9546267 54.9072989, 23.9543053 54.9073972, 23.9539034 54.9075216, 23.9534036 54.9076756, 23.9533609 54.9076887, 23.9532658 54.907717, 23.9530924 54.9077687)",,,,,
12089320117,12089320079,0,1305285484,unclassified,1,50,,True,,False,14.65961974920129,"LINESTRING (23.9560494 54.9067496, 23.9560192 54.9067362, 23.9559977 54.906718, 23.955987 54.9066969, 23.9559883 54.906675, 23.9560014 54.9066543, 23.956025 54.906637)",,roundabout,,,
12090129478,364849694,0,"[290823010, 1123087527]",secondary,2,50,Žeimenos g.,False,,True,70.19228507417952,"LINESTRING (23.9385365 54.9224188, 23.9382944 54.9224324, 23.9380677 54.9224651, 23.9374655 54.9225533)",,,,,
12090129478,10812588248,0,1305367033,residential,1,50,S. Lozoraičio g.,True,,False,45.309968384059985,"LINESTRING (23.9385365 54.9224188, 23.9384781 54.9223107, 23.9383265 54.9220296)",,,,,
12090129478,12090129479,0,1305367034,secondary,2,50,Žeimenos g.,False,,False,9.488654876257563,"LINESTRING (23.9385365 54.9224188, 23.9385895 54.9224159, 23.9386843 54.9224106)",,,,,
12090129479,8520433914,0,1054906914,secondary,2,50,P. Lukšio g.,True,,False,25.901249329339663,"LINESTRING (23.9386843 54.9224106, 23.9388809 54.9226143)",,,,,
12090129479,1550056541,0,917359932,residential,2,50,Žeimenos g.,False,,False,28.348647188637052,"LINESTRING (23.9386843 54.9224106, 23.938849 54.9223866, 23.9391143 54.9223479)",,,,,
12090129479,12090129478,0,1305367034,secondary,2,50,Žeimenos g.,False,,True,9.488654876257563,"LINESTRING (23.9386843 54.9224106, 23.9385895 54.9224159, 23.9385365 54.9224188)",,,,,
12090129494,10181055793,0,"[132125952, 1174497164, 495904518]",secondary,"['2', '3']",50,P. Lukšio g.,True,,False,274.34952640268875,"LINESTRING (23.939467 54.9231445, 23.9395561 54.9232135, 23.9397374 54.9233371, 23.9398147 54.9233898, 23.940161 54.9235802, 23.9405298 54.9237607, 23.9407078 54.9238386, 23.9408991 54.9239161, 23.9412301 54.9240346, 23.9415534 54.9241533, 23.941879 54.9242472, 23.9421445 54.9243112, 23.9424234 54.9243729, 23.9429797 54.9244966)",,,,,
12090129495,12090129494,0,1305367038,secondary,2,50,P. Lukšio g.,True,,False,27.765530665732847,"LINESTRING (23.9392135 54.9229417, 23.939467 54.9231445)",,,,,
12090129495,3771551798,0,1305367040,unclassified,1,50,Ukmergės g.,True,,False,18.397344711052533,"LINESTRING (23.9392135 54.9229417, 23.9392012 54.923107)",,,,,
12092007143,442009351,0,561950211,residential,,30,Eivenių g.,True,,False,34.993025552724745,"LINESTRING (23.9204851 54.9170894, 23.9209695 54.9169427)",,,,,
